code,desc,case_size,bulk_code,micro ,carton,category,line,gr_wt,nt_wt,plant,line_bulk,des_code
FB51440K00EX,Auromere TP-Freshmint-40kg DRUM-ORG NEEM,1,BB514,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB51440000
FB53013300EX,BURST MINT AC FLD TPST 133 G-4.7 OZ,24,BB530,1,0,Pvt Label,Toothpaste Line,0.158,133,1024,,BB530133
FB53507500EX,SESAMESTREET KIDS TOOTHPASTE 75 ML,100,BB535,1,1,Pvt Label,Toothpaste Line,0.125,99,1024,,BB53599
FB47218101EX,Lucky Wht AC Fld Tpst 181g-6.4OZ+TBR-New,24,BB472,1,1,Pvt Label,Toothpaste Line,0.258,181,1024,,BB472181
FB47211301EX,Lucky Wht AC Fld Tpst 113g-4 Oz-Twin Pk,12,BB472,1,1,Pvt Label,Toothpaste Line,0.287,226,1024,,BB472226
FB47411301EX,Lucky AC Fld Tpst 113g-4 Oz-Twin Pk,12,BB474,1,1,Pvt Label,Toothpaste Line,0.287,226,1024,,BB474226
FB83501201EX,Forhans Special TPST 12.5 ML-25 pk--NOT,150,,1,1,Pvt Label,Toothpaste Line,,12.5,1024,,12.5
FC25010000MN,Dabur Red Paste 100 gm - MN,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FC25015000MN,Dabur Red Paste 150 gm - MN,48,BC250,1,1,IBD,Toothpaste Line,0.18,150,1024,,BC250150
FC25020000MN,Dabur Red Paste 200 gm - MN,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FB47418101EX,Lucky AC Fld Tpst 181g-6.4Oz+TBR-New,24,BB474,1,1,Pvt Label,Toothpaste Line,,181,1024,,BB474181
FC22315001QT,Dabur Herbal T.Paste-Clove 150gm+TB-QTR,48,BC223,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC223150
FC22115001QT,Dabur Herbal T.Paste-Neem 150gm+TB-QTR,48,BC221,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC221150
FC22215001QT,Dabur Herbal T.Paste-Basil 150gm+TB-QTR,48,BC222,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC222150
FC22415001QT,Dabur Herbal T.Paste-Whitening 150gm+TB-,48,BC224,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC224150
FC22515001QT,DaburHerbalT.Paste-Freshgel150gm+TB-QTR,48,BC227,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC227150
FC74502000GC,Dabur Herbal TPST Smokers 20gm- GCC,432,BC745,1,1,IBD,Toothpaste Line,,20,1024,,BC74520
FB51704000EX,Auromere TP-Freshmint 40kg-ORG NEEM - ST,1,BB517A,1,0,Pvt Label,Toothpaste Line,,40000,1024,,BB517A40000
FB51904000EX,Auromere TP- Licorice-40kg ORG NEEM - ST,1,BB519A,1,0,Pvt Label,Toothpaste Line,,40000,1024,,BB519A40000
FB51804000EX,Auromere TP-Mintfree-40kg -ORG NEEM - ST,1,BB518A,1,0,Pvt Label,Toothpaste Line,,40000,1024,,BB518A40000
FB83801200EX,Forhans Special Toothpaste 12.5 ML-25 pk,150,BB838,1,1,Pvt Label,Toothpaste Line,,17,1024,,BB83817
FB51611700EX,Auromere TPST- Licorice 117g-4.16oz-AB,144,BB516,1,1,Pvt Label,Toothpaste Line,,117,1024,,BB516117
FC25010000QT,Dabur Red Paste 100 gm - Qatar,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FC25020000QT,Dabur Red Paste 200g - Qatar,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FB43107800EX,Freshmint Flouride Free TPST 78gm-2.75oz,144,BB431,1,1,Pvt Label,Toothpaste Line,,78,1024,,BB43178
FB51111701EX,Auromere TPST- Classic-117g-ORG NEEM,144,BB511,1,1,Pvt Label,Toothpaste Line,,117,1024,,BB511117
FB84811900EX,THOMAS & FRIENDS BBL GUM 4.2Oz(119g) TP,24,BB848A,1,1,Pvt Label,Toothpaste Line,,119,1024,,BB848A119
FB15005005,Odonil Blocks 50gm Mix(3+1 Offer(Promo)),192,BB152A,0,1,Domestic,Odonil line,,50,1025,,BB152A50
FB22602000US,Dabur Meswak Toothpaste 20gm -USA,432,BB228,1,1,IBD,Toothpaste Line,,20,1024,,BB22820
FB89618400EX,HONEY & MISWAK FL FREE TPST 6.5Oz (184g),48,BB896A,1,1,Pvt Label,Toothpaste Line,,184,1024,,BB896A184
FB89704200EX,MED PRIDE FLUORIDE TPST 1.5 Oz (42.5g),144,BB897A,1,1,Pvt Label,Toothpaste Line,,42.5,1024,,BB897A42.5
FB30518101EX,Iodent FL TPST-Mint 181g-6.4oz+TB(24 pc),24,BB305,1,1,Pvt Label,Toothpaste Line,,181,1024,,BB305181
FC22202000EX,New Dabur Herb'l TPST -BASIL 20gm,432,BC222,1,1,IBD,Toothpaste Line,,20,1024,,BC22220
FB35112500EX,Derlon Coolmint Toothpaste 125ml,72,BB351A,1,0,Pvt Label,Toothpaste Line,,153,1024,,BB351A153
FB35312500EX,Derlon Anti Caries Toothpaste 125ml,72,BB353A,1,0,Pvt Label,Toothpaste Line,,196,1024,,BB353A196
FB30418102EX,Fluoride Cavity Fighting TP 181G+TB-24pk,24,BB304,1,1,Pvt Label,Toothpaste Line,,181,1024,,BB304181
FB21017001UC,Dabur PromiseTPST 170g(2x170gCP)-Usa-Can,36,BB210A,1,1,IBD,Toothpaste Line,0.402,340,1024,,BB210A340
FB20018001UC,Dabur Babool TPST 180g(2x180g CP)-US-Can,36,BB200A,1,1,IBD,Toothpaste Line,0.427,360,1024,,BB200A360
FR19511300EX,CAREALL PETROLEUM JELLY 4 OZ (113g) TUB,72,BR195,0,0,Pvt Label,HRC jar,0.15,113,1025,,BR195113
FR19522600EX,CAREALL PETROLEUM JELLY 8 OZ (226g) TUB,48,BR195,0,0,Pvt Label,HRC jar,0.282,226,1025,,BR195226
FR19536800EX,CAREALL PETROLEUM JELLY 13 OZ (368g) TUB,36,BR195,0,0,Pvt Label,HRC jar,0.457,368,1025,,BR195368
FB138C5001,Sanifresh N Toilet Cleaner500ml CSD27094,24,BB138,0,0,Domestic,Sanifresh line,,520,1025,,BB138520
FB15005013,Odonil Blocks 50gm Mix CP3+1 Offer G,192,BB152A,0,1,Domestic,Odonil line,,50,1025,,BB152A50
FR21020000UC,Dabur Red Toothpaste 200G-Us-Can (PF),36,BR210,1,1,IBD,Toothpaste Line,,200,1024,,BR210200
FB90011800EX,MEDPRIDE ORALPLUS MOUTHWASH 4fl Oz-118ml,60,BB900,1,1,Pvt Label,Mouthwash line,,118,1024,,BB900118
FB23608500EX,Amerfresh Fluoride TPST  TC 85G - 3  OZ,144,BB236,1,1,Pvt Label,Toothpaste Line,,85,1024,,BB23685
FB38905900EX,Freshmint AF Mouthwash – 2 fl oz (59ml),96,BB389,1,0,Pvt Label,Mouthwash line,,59,1024,,BB38959
FB38911800EX,Freshmint AF Mouthwash – 4 fl oz (118ml),60,BB389,1,0,Pvt Label,Mouthwash line,,118,1024,,BB389118
FB24008500EX,AMERFRESH FLUORIDE T/PASTE 85 G (CB),144,BB240,1,0,Pvt Label,Toothpaste Line,0.103,85,1024,,BB24085
FB58609000EX,LASCO ADV CAVITY PROTECTION FL TPST 90G,48,BB586,1,1,Pvt Label,Toothpaste Line,,90,1024,,BB58690
FB58616000EX,LASCO ADV CAVITY PROTECTION FL TPST 160G,48,BB586,1,1,Pvt Label,Toothpaste Line,,160,1024,,BB586160
FB58816000EX,LASCO TRIPLE CARE FL TPST 160G,48,BB588,1,1,Pvt Label,Toothpaste Line,,160,1024,,BB588160
FB58802500EX,LASCO TRIPLE CARE FL TPST 25G,144,BB588,1,1,Pvt Label,Toothpaste Line,,25,1024,,BB58825
FB58602500EX,LASCO ADV CAVITY PROTECTION FL TPST 25G,144,BB586,1,1,Pvt Label,Toothpaste Line,,25,1024,,BB58625
FB58809000EX,LASCO TRIPLE CARE FL TPST 90G,48,BB588,1,1,Pvt Label,Toothpaste Line,,90,1024,,BB58890
FB59017000EX,LASCO WHITENING FL TP170G-TARTAR CONTROL,48,BB590,1,1,Pvt Label,Toothpaste Line,,170,1024,,BB590170
FB59002500EX,LASCO WHITENING FL TP 25G-TARTAR CONTROL,144,BB590,1,1,Pvt Label,Toothpaste Line,,25,1024,,BB59025
FB59216000EX,LASCO WHT BKG SODA & PEROXIDE FL TP 160G,48,BB592,1,1,Pvt Label,Toothpaste Line,,160,1024,,BB592160
FB59413000EX,LASCO SENSITIVE ENAMEL CARE FL TPST 130G,24,BB594,1,1,Pvt Label,Toothpaste Line,,130,1024,,BB594130
FB59402500EX,LASCO SENSITIVE ENAMEL CARE FL TPST 25G,144,BB594,1,1,Pvt Label,Toothpaste Line,,25,1024,,BB59425
FB89612800EX,HONEY & MISWAK FL FREE TPST 4.5Oz (128g),72,BB896A,1,1,Pvt Label,Toothpaste Line,,128,1024,,BB896A128
FB89602100EX,HONEY & MISWAK FL FREE TPST 0.75Oz (21g),432,BB896A,1,1,Pvt Label,Toothpaste Line,,21,1024,,BB896A21
FB60118101EX,UNIVERSAL ADV WHT FL TP 6.4 Oz(181G)+TBR,24,BB601,1,1,Pvt Label,Toothpaste Line,,181,1024,,BB601181
FB60218101EX,UNIVERSAL ANTI-CAVITY TP 6.4Oz(181G)+TBR,24,BB602,1,1,Pvt Label,Toothpaste Line,,181,1024,,BB602181
FB60312200EX,UNIVERSAL SENSITIVE FL TP 4.3Oz(122G),24,BB603,1,1,Pvt Label,Toothpaste Line,,122,1024,,BB603122
FB59811700EX,Oxolis Fluoride Toothpaste 75ml (117g),60,BB598,1,0,Pvt Label,Toothpaste Line,,117,1024,,BB598117
FB75210000EX,COMPLEX ORIGINAL TOOTHPASTE 100GM,72,BB752,1,1,Pvt Label,Toothpaste Line,,100,1024,,BB752100
FB75310000EX,COMPLEX WITH HIMALAYAN HERBS TPST 100GM,72,BB753,1,1,Pvt Label,Toothpaste Line,,100,1024,,BB753100
FB59202500EX,LASCO WHT BKG SODA & PEROXIDE FL TP 25G,144,BB592,1,1,Pvt Label,Toothpaste Line,0.037,25,1024,,BB59225
FB61107500EX,CARE DENTIFRICE TRIPLE ACTION  TPST 75ML,48,BB611,1,1,Pvt Label,Toothpaste Line,0.128,101,1024,,BB611101
FB33103000EX,Auromere Mouthwash 30ml (1 Fl Oz)-Bottle,288,BB331,1,0,Pvt Label,Mouthwash line,,32,1024,,BB33132
FB51401200EX,Auromere TPST-Freshmint-12.5ml-ORG NEEM,432,BB514,1,0,Pvt Label,Toothpaste Line,,20,1024,,BB51420
FC25010000AF,Dabur Red Paste 100gm-Afghanistan,72,BC250,1,1,IBD,Toothpaste Line,0.122,100,1024,,BC250100
FC25020000AF,Dabur Red Toothpaste 200g- Afghanistan,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FB61102000EX,CARE DENTIFRICE TRIPLE ACTION  TPST 20G,432,BB611A,1,1,Pvt Label,Toothpaste Line,,20,1024,,BB611A20
FB39000801EX,Freshmint AC FLD Gel Sachet 0.28OZ (08G),1000,BB390,1,0,Pvt Label,Toothpaste Pouch line,,8,1024,,BB3908
FB39007100EX,Freshmint AC FLD Gel TPST 2.5OZ (71G),144,BB390,1,0,Pvt Label,Toothpaste Line,0.084,71,1024,,BB39071
FB47612200EX,Lucky Sensitive AC Fld Tp-122g-4.3oz-New,24,BB476,1,1,Pvt Label,Toothpaste Line,0.17,122,1024,,BB476122
FM07112000GC,Fem USA HRC-RejuvenatingChamomile120g-GC,48,BM071,0,1,IBD,HRC tube,,120,1025,,BM071120
FM07312000GC,Fem USA HRC - Rose 120gm-GCC,48,BM073,0,1,IBD,HRC tube,,120,1025,,BM073120
FM07412000GC,Fem USA HRC - Lemon 120gm-GCC,48,BM074,0,1,IBD,HRC tube,,120,1025,,BM074120
FB22820000CA,Dabur Meswak HTP Dentifrice 200g-Canada,36,BB228,1,1,IBD,Toothpaste Line,,200,1024,,BB228200
FB22820000US,Dabur Meswak HTP Dentifrice 200g-USA,36,BB228,1,1,IBD,Toothpaste Line,,200,1024,,BB228200
FB51111703EX,Auromere TPST- Classic-117g-ORG NEEM WF,144,BB511A,1,1,Pvt Label,Toothpaste Line,,117,1024,,BB511A117
FB51411701EX,Auromere TPST-Freshmint-117g-ORG NEEM WF,144,BB514,1,1,Pvt Label,Toothpaste Line,,117,1024,,BB514117
FC25005000MN,Dabur Red Toothpaste 50g - MN,144,BC250,1,1,IBD,Toothpaste Line,0.066,50,1024,,BC25050
FB227C10,Dabur Meswak 100gCSD Cs72 Index 4071 New,72,BB227,1,1,Domestic,Toothpaste Line,,100,1024,,BB227100
FB227010,Dabur Meswak 10gm New,576,BB227,1,0,Domestic,Toothpaste Line,,10,1024,,BB22710
FR211C10,Dabur Red Paste 100gm CSD New,72,BR211,1,1,Domestic,Toothpaste Line,,100,1024,,BR211100
FR211C20,Dabur Red Paste 200gm CSD New,36,BR211,1,1,Domestic,Toothpaste Line,,200,1024,,BR211200
FB83411900EX,Brush Buddies Char. Tpst 4.2OZ (119g) NF,24,BB834,1,1,Pvt Label,Toothpaste Line,,119,1024,,BB834119
FB22112000EX,Najwa Herbal Toothpaste 120 gms New Pack,72,BB221,1,1,Pvt Label,Toothpaste Line,,120,1024,,BB221120
FB02210000EX,Money Shaver Shaving Cream 100ml,24,BB022A,0,0,Pvt Label,HRC tube,,92.5,1025,,BB022A92.5
FR19708500EX,ASSURED CREAMY PETRO JELLY 3OZ(85G) TUBE,24,BR197A,1,0,Pvt Label,HRC tube,,85,1025,,BR197A85
FB51340K00JA,AuromereTP–FoamFreeMint-40kg-ORG NEEM JP,1,BB513A,1,0,Pvt Label,Toothpaste Line,,40000,1024,,BB513A40000
FB33147300JA,Auromere Mouthwash 473ml (16OZ) - Japan,36,,1,0,Pvt Label,Mouthwash line,,473,1024,,473
FB28004200EXSF,Sparklefresh Fluoride Tpst 1.5oz (42.5g),144,BB280A,1,0,Pvt Label,Toothpaste Line,,43,1024,,BB280A43
FB28007800EXSF,Sparklefresh Fluoride Tpst. 2.75oz (78g),144,BB280A,1,0,Pvt Label,Toothpaste Line,,78,1024,,BB280A78
FB28002400EXSF,Sparklefresh Fluoride Tpst. 0.85oz (24g),720,BB280A,1,0,Pvt Label,Toothpaste Line,,24,1024,,BB280A24
FB28001700EXSF,Sparklefresh Fluoride Tpst. 0.6oz(17gms),720,BB280A,1,0,Pvt Label,Toothpaste Line,,17,1024,,BB280A17
FB83413100EXDC,DABUR CHARCOAL NF TOOTHPASTE 100ml(131g),36,BB834,1,1,Pvt Label,Toothpaste Line,,131,1024,,BB834131
FB54519800EX,Freshenup Fld Twin(Ghost+Enamel)7oz198g,12,,1,1,Pvt Label,Toothpaste Line,0.255,198,1024,,198
FB54419800EX,Freshenup Fld Twin(Breath+Tartar)7oz198g,12,,1,1,Pvt Label,Toothpaste Line,0.255,198,1024,,198
FB59818101EXHS,Health Smart Fld Freshmint 181g6.4oz+TBR,24,,1,1,Pvt Label,Toothpaste Line,0.248,181,1024,,181
FB47218101EXHS,Health Smart Fld Regular TP181g6.4OZ+TBR,24,,1,1,Pvt Label,Toothpaste Line,0.248,181,1024,,181
FR19808500EX,ASSURED COCOA BUTTER PET. JELLY 3OZ(85g),24,,1,0,Pvt Label,HRC Tube,0.115,85,1025,,85
